original_text,paraphrase_text,category,similarity_score,original_quality,paraphrase_quality,original_token_count,paraphrase_token_count,word_changes_count,substitutions_count,additions_count,deletions_count,is_valid,source
"pengumuman itu, yang menurut para ekonom tidak mengejutkan, mungkin pahit bagi jutaan orang amerika tanpa pekerjaan.","ekonom mengatakan pengumuman itu tidak mengejutkan, dan politisi mengatakan pihaknya menawarkan sedikit kenyamanan bagi jutaan orang amerika tanpa pekerjaan.",creative,0.52,"{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 0.9473684210526315}",20,23,3,1,1,1,True,paraphrase_detection
"dua bersaudara yang termasuk di antara tujuh tersangka portland yang dituduh membantu teroris telah memutuskan untuk mengaku bersalah karena berkonspirasi untuk membantu al-qaida dan taliban, kata para pejabat rabu.",dua bersaudara yang termasuk di antara tujuh orang yang dituduh membantu teroris mengaku bersalah kemarin atas tuduhan berkonspirasi untuk membantu al qaeda dan taliban selama perang di afghanistan.,creative,0.47368421052631576,"{'quality_score': 100, 'issues': [], 'word_count': 29, 'unique_word_ratio': 0.896551724137931}","{'quality_score': 100, 'issues': [], 'word_count': 28, 'unique_word_ratio': 0.8928571428571429}",40,39,5,4,0,1,True,paraphrase_detection
"lebih dari setengah lagu dibeli sebagai album, kata apple.",apple mencatat bahwa setengah lagu dibeli sebagai bagian dari album.,creative,0.5714285714285714,"{'quality_score': 100, 'issues': [], 'word_count': 9, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}",14,14,3,1,1,1,True,paraphrase_detection
"catatan: cabrera, pada 20 tahun, 63 hari, adalah pemain terkemuka kedua yang debut dengan marlins.",pencatat: cabrera menjadi pemain terkemuka kedua yang debut untuk marlins-20 tahun dan 63 hari.,creative,0.5652173913043478,"{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}",26,24,4,3,1,0,True,paraphrase_detection
perdana menteri junichiro koizumi harus menghitung bintang keberuntungannya.,perdana menteri junichiro koizumi memiliki semua kecuali membuat botol sampanye.,creative,0.3333333333333333,"{'quality_score': 100, 'issues': [], 'word_count': 8, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}",15,17,1,1,0,0,True,paraphrase_detection
"hasil pada tolok ukur 10 tahun treasury note naik setinggi 4,66 persen 14 agustus dari 3,07 persen pada juni.","hasil pada 10 tahun treasury note naik menjadi 4,46 dari 4,42 kamis malam.",creative,0.4230769230769231,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 0.8947368421052632}","{'quality_score': 100, 'issues': [], 'word_count': 13, 'unique_word_ratio': 1.0}",30,24,5,4,0,1,True,paraphrase_detection
"saya ingin mengucapkan terima kasih kepada pak alex ferguson secara terbuka karena menjadikan saya pemain saya hari ini. ""","saya ingin mengucapkan terima kasih kepada pak alex ferguson secara terbuka karena menjadikan saya pemain seperti hari ini, kata beckham dalam pernyataannya.",balanced,0.7083333333333334,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 0.8947368421052632}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9545454545454546}",24,31,3,1,1,1,True,paraphrase_detection
"badan energi atom internasional pbb meminta informasi tentang tuduhan setelah dokumen itu diterbitkan, tetapi inggris tidak memberikan, kata para pejabat as.","badan energi atom internasional meminta informasi tentang pernyataan uranium setelah dokumen london diterbitkan, tetapi inggris tidak memberikan, kata para pejabat as.",balanced,0.7692307692307693,"{'quality_score': 100, 'issues': [], 'word_count': 21, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 21, 'unique_word_ratio': 1.0}",26,26,3,2,0,1,True,paraphrase_detection
"seorang juru bicara mengatakan: ""pengujian lebih lanjut sedang berlangsung tetapi pada tahap ini, mengingat deteksi dini, prospeknya positif.""","""pengujian lebih lanjut masih berlangsung, tetapi pada tahap ini, mengingat deteksi dini, pandangan dalam kasus seperti itu akan positif,"" kata spesialis kemarin.",creative,0.46875,"{'quality_score': 100, 'issues': [], 'word_count': 18, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 1.0}",28,33,6,2,2,2,True,paraphrase_detection
bomber yang tersenyum amrozi terinspirasi untuk melancarkan serangan terhadap bali setelah mantan bos australianya mengungkapkan pulau wisata adalah surga bagi perilaku berdosa oleh orang barat.,bali bomber amrozi mengklaim bahwa ia terinspirasi untuk melancarkan serangan terhadap pulau wisata setelah bosnya di australia mengungkapkan bali adalah surga bagi perilaku berdosa orang barat.,balanced,0.625,"{'quality_score': 100, 'issues': [], 'word_count': 25, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 26, 'unique_word_ratio': 0.9615384615384616}",34,35,6,0,3,3,True,paraphrase_detection
