input_text,target_text,category
"paraphrase: pengumuman itu, yang menurut para ekonom tidak mengejutkan, mungkin pahit bagi jutaan orang amerika tanpa pekerjaan.","ekonom mengatakan pengumuman itu tidak mengejutkan, dan politisi mengatakan pihaknya menawarkan sedikit kenyamanan bagi jutaan orang amerika tanpa pekerjaan.",creative
"paraphrase: dua bersaudara yang termasuk di antara tujuh tersangka portland yang dituduh membantu teroris telah memutuskan untuk mengaku bersalah karena berkonspirasi untuk membantu al-qaida dan taliban, kata para pejabat rabu.",dua bersaudara yang termasuk di antara tujuh orang yang dituduh membantu teroris mengaku bersalah kemarin atas tuduhan berkonspirasi untuk membantu al qaeda dan taliban selama perang di afghanistan.,creative
"paraphrase: lebih dari setengah lagu dibeli sebagai album, kata apple.",apple mencatat bahwa setengah lagu dibeli sebagai bagian dari album.,creative
"paraphrase: catatan: cabrera, pada 20 tahun, 63 hari, adalah pemain terkemuka kedua yang debut dengan marlins.",pencatat: cabrera menjadi pemain terkemuka kedua yang debut untuk marlins-20 tahun dan 63 hari.,creative
paraphrase: perdana menteri junichiro koizumi harus menghitung bintang keberuntungannya.,perdana menteri junichiro koizumi memiliki semua kecuali membuat botol sampanye.,creative
"paraphrase: hasil pada tolok ukur 10 tahun treasury note naik setinggi 4,66 persen 14 agustus dari 3,07 persen pada juni.","hasil pada 10 tahun treasury note naik menjadi 4,46 dari 4,42 kamis malam.",creative
"paraphrase: saya ingin mengucapkan terima kasih kepada pak alex ferguson secara terbuka karena menjadikan saya pemain saya hari ini. ""","saya ingin mengucapkan terima kasih kepada pak alex ferguson secara terbuka karena menjadikan saya pemain seperti hari ini, kata beckham dalam pernyataannya.",balanced
"paraphrase: badan energi atom internasional pbb meminta informasi tentang tuduhan setelah dokumen itu diterbitkan, tetapi inggris tidak memberikan, kata para pejabat as.","badan energi atom internasional meminta informasi tentang pernyataan uranium setelah dokumen london diterbitkan, tetapi inggris tidak memberikan, kata para pejabat as.",balanced
"paraphrase: seorang juru bicara mengatakan: ""pengujian lebih lanjut sedang berlangsung tetapi pada tahap ini, mengingat deteksi dini, prospeknya positif.""","""pengujian lebih lanjut masih berlangsung, tetapi pada tahap ini, mengingat deteksi dini, pandangan dalam kasus seperti itu akan positif,"" kata spesialis kemarin.",creative
paraphrase: bomber yang tersenyum amrozi terinspirasi untuk melancarkan serangan terhadap bali setelah mantan bos australianya mengungkapkan pulau wisata adalah surga bagi perilaku berdosa oleh orang barat.,bali bomber amrozi mengklaim bahwa ia terinspirasi untuk melancarkan serangan terhadap pulau wisata setelah bosnya di australia mengungkapkan bali adalah surga bagi perilaku berdosa orang barat.,balanced
"paraphrase: uskup ketua gereja episkopal, frank t. griswold iii, menolak, melalui juru bicara, untuk mengomentari pengembangan hari sabtu.","uskup ketua gereja episkopal, frank griswold, menolak berkomentar tentang perkembangan hari sabtu.",creative
"paraphrase: juga pada risiko yang meningkat adalah mereka yang sistem kekebalan tubuh ditekan oleh obat -obatan atau penyakit seperti kanker, diabetes dan aids.",juga berisiko lebih tinggi adalah mereka yang mengalami sistem kekebalan yang ditekan karena penyakit atau obat -obatan.,creative
paraphrase: sekitar 120 juri potensial diminta untuk mengisi kuesioner yang panjang.,para juri dibawa ke ruang sidang dalam kelompok 40 dan diminta untuk mengisi kuesioner.,creative
"paraphrase: inilah yang dikatakan dr. dean: ""saya masih ingin menjadi kandidat untuk orang -orang dengan bendera konfederasi di truk pickup mereka.","dia mengatakan kepada the register: ""saya masih ingin menjadi kandidat untuk orang -orang dengan bendera konfederasi di truk pickup mereka.""",balanced
"paraphrase: risiko itu, digambarkan sebagai minor, tetap ""kekhawatiran utama untuk masa mendatang,"" pernyataan yang dirilis setelah pertemuan fed mengatakan.","""risiko inflasi menjadi rendah yang tidak diinginkan tetap menjadi perhatian utama untuk masa mendatang,"" kata komite pasar terbuka federal yang menetapkan kebijakan.",creative
"paraphrase: ""setelah apa yang terjadi di sini . itu norak dan tidak patriotik,"" kata joann marquis, mengunjungi situs itu bersama suaminya dari salem, mass.","""ini jahat,"" kata joann marquis, mengunjungi suaminya dari salem, mass. ""setelah apa yang terjadi di sini.",balanced
"paraphrase: ditekan untuk perincian, tuan warner mengatakan: ""keenam dari mereka sudah mati, kami diberitahu oleh harold dan kelompoknya"".","""mereka berenam sudah mati, kami diberitahu oleh harold dan kelompoknya,"" kata warner.",creative
paraphrase: perusahaan riset pasar dell oro group memperkirakan pasar ini akan total 12 miliar pada tahun 2004.,perusahaan riset pasar dell oro group memperkirakan bahwa pasar gigabit ethernet switch akan berjumlah sekitar us 12 miliar pada tahun 2004.,balanced
paraphrase: juru bicara gbi john bankhead mengatakan adegan pembunuhan menunjukkan bahwa si pembunuh itu sangat metodis.,"juru bicara investigasi biro georgia john bankhead mengatakan tkp tersebut menunjukkan bahwa pembunuh itu ""sangat metodis.""",creative
"paraphrase: ""sejak awal, kami tidak ingin melihat ada yang mengambil gaji.","tetapi tuan crosby mengatakan kepada associated press: ""sejak awal, kami tidak ingin melihat ada yang mengambil gaji.",balanced
"paraphrase: ""sangat disayangkan bahwa senator clinton akan berusaha untuk mempolitisasi calon yang memenuhi syarat seperti gubernur leavitt,"" kata taylor gross, seorang juru bicara gedung putih.","""sangat disayangkan bahwa senator clinton akan berusaha untuk mempolitisasi calon yang memenuhi syarat seperti gubernur leavitt.",balanced
paraphrase: lima pria yang tersisa terus ditanyai berdasarkan bagian 17 dari undang -undang terorisme.,tiga pria dan dua wanita yang berada di properti itu ditangkap berdasarkan bagian 41 dari undang -undang terorisme 2000.,creative
"paraphrase: ini memiliki margin kesalahan plus atau minus 4,9 persen.",itu memiliki margin kesalahan plus atau minus lima poin persentase.,creative
"paraphrase: dow jones industrials secara singkat melampaui tanda 9.000 untuk pertama kalinya sejak desember. """,dow jones industrials naik lebih dari 140 poin ke atas tanda 9.000 untuk pertama kalinya sejak desember.,creative
paraphrase: banjir yang sama yang menghalangi jalan bandara juga membanjiri depot federal express.,"air yang menghalangi jalan bandara membanjiri beberapa bangunan, termasuk depot federal express.",creative
paraphrase: penyelidik federal mencari kemungkinan koneksi antara pencurian 1.100 pon bahan kimia peledak dari perusahaan konstruksi di colorado dan california dalam seminggu terakhir.,agen federal mengatakan pada hari jumat bahwa mereka sedang menyelidiki pencurian 1.100 pon bahan kimia ledakan dari perusahaan konstruksi di colorado dan california dalam seminggu terakhir.,creative
"paraphrase: ""dia melakukan pekerjaan yang buruk di sana,"" kata mr. villalona.","villalona lebih terus terang: ""dia melakukan pekerjaan buruk di sana,"" katanya.",creative
"paraphrase: tetapi negara ini berebut untuk mencegahnya menyebar ke pedesaan yang luas di mana sebagian besar 1,3 miliar orang tinggal.","china berebut untuk menghentikan penyakit dari menyebar ke pedesaan, di mana sebagian besar 1,3 miliar orang tinggal.",balanced
"paraphrase: chevrolet tahoe 1996 -nya ditemukan ditinggalkan di pantai virginia, va., tempat parkir 25 juni.","kendaraan utilitas sport -nya ditemukan 25 juni, ditinggalkan tanpa plat nomornya di virginia beach, va.",creative
"paraphrase: ""kami telah mengirim pesan kepada negara bahwa ini adalah louisiana baru,"" katanya kepada pesta kemenangan di new orleans.","""kami telah mengirim pesan baru ke negara - bahwa ini adalah louisiana baru.""",creative
"paraphrase: mereka termasuk ask jeeves inc., global crossing, aether systems, clarent, copper mountain networks dan va linux, sekarang perangkat lunak va.","mereka termasuk penyeberangan global, teknologi akamai, ask jeeves, copper mountain networks, etoys dan va linux.",creative
"paraphrase: dotson, 21, ditangkap dan didakwa pada 21 juli setelah dilaporkan memberi tahu pihak berwenang bahwa dia menembak dennehy setelah dennehy mencoba menembaknya.","dotson ditangkap 21 juli setelah memberi tahu agen fbi bahwa dia menembak dennehy ketika dennehy mencoba menembaknya, menurut surat perintah penangkapan.",creative
paraphrase: para peneliti hanya menemukan rongga kosong dan jaringan parut di mana tumor berada.,"tidak ada tumor yang terdeteksi; sebaliknya, rongga kosong dan jaringan parut ditemukan di tempat mereka.",creative
"paraphrase: mark kaiser, wakil presiden pemasaran, dan tim lee, wakil presiden pembelian, diberhentikan minggu lalu.","mark kaiser dan tim lee, masing-masing wakil presiden layanan makanan as untuk pemasaran dan pembelian, telah diberhentikan.",creative
"paraphrase: virus ini menyebar saat pengguna komputer yang tidak curiga membuka lampiran file dalam email yang berisi judul yang akrab seperti ""terima kasih!"" dan ""re: detail"".","sobig.f menyebar saat tidak curiga pengguna komputer membuka lampiran file dalam email yang berisi judul yang akrab seperti ""terima kasih!,"" ""re: detail"" atau ""re: film itu.""",balanced
"paraphrase: para pemilih di cleveland heights, ohio, diminta untuk memutuskan apakah akan mengizinkan pasangan sesama jenis - dan juga pasangan heteroseksual yang belum menikah - untuk secara resmi mendaftar sebagai mitra domestik.","pemilih di cleveland heights, ohio, menyetujui proposal yang memungkinkan pasangan sesama jenis-dan juga pasangan heteroseksual yang belum menikah-untuk secara resmi mendaftar sebagai mitra domestik.",balanced
