original,paraphrase,category,source,similarity_score
"Amrozi menuduh saudaranya, yang dia sebut ""saksi"", dengan sengaja mendistorsi buktinya.","Mengacu padanya hanya sebagai ""saksi"", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.",balanced,paraphrase_detection,0.6111111111111112
"Mereka telah menerbitkan iklan di internet pada 10 Juni, menawarkan kargo untuk dijual, tambahnya.","Pada 10 Juni, pemilik kapal telah menerbitkan iklan di internet, menawarkan bahan peledak untuk dijual.",balanced,paraphrase_detection,0.65
"Saham naik $ 2,11, atau sekitar 11 persen, ditutup Jumat dengan $ 21,51 di New York Stock Exchange.","Saham PG&E Corp. melonjak $ 1,63 atau 8 persen menjadi $ 21,03 di New York Stock Exchange pada hari Jumat.",creative,paraphrase_detection,0.40625
Pendapatan pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.,"Dengan skandal yang menggantung di atas perusahaan Stewart, pendapatan kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.",balanced,paraphrase_detection,0.6086956521739131
DVD-CCA kemudian mengajukan banding ke Mahkamah Agung negara bagian.,DVD CCA mengajukan banding atas keputusan itu ke Mahkamah Agung A.S.,creative,paraphrase_detection,0.47058823529411764
Dia mengatakan bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang perusahaan.,"""Bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang kami.",balanced,paraphrase_detection,0.7058823529411765
Namun dia menambahkan kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.,De Sole mengatakan dalam pernyataan hasil bahwa kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.,creative,paraphrase_detection,0.5238095238095238
Dia mengatakan kepada surat kabar The Sun bahwa putri Mr. Hussein memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka.,"""Anak perempuan Saddam memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka - terutama sekolah -sekolah,"" katanya kepada The Sun.",creative,paraphrase_detection,0.5151515151515151
"Sheena Young dari Child, National Infertility Support Network, berharap pedoman itu akan mengarah pada layanan yang lebih ""adil dan adil"" untuk penderita infertilitas.","Sheena Young, juru bicara untuk Child, National Infertility Support Network, mengatakan pedoman yang diusulkan harus mengarah pada layanan yang lebih ""adil dan adil"" untuk penderita infertilitas.",balanced,paraphrase_detection,0.7
"Pencari baru menempatkan folder pengguna, hard drive, server jaringan, idisk dan media yang dapat dilepas di satu lokasi, menyediakan akses satu klik.","Alat Navigasi Pencari Panther yang didesain ulang menempatkan folder favorit pengguna, hard drive, server jaringan, idisk dan media yang dapat dilepas di satu lokasi.",balanced,paraphrase_detection,0.6551724137931034
